term	valence	arousal	dominance
कनवल्शन	-0.1660	0.1180	0.0540
कनवल्शनर	0.1880	0.0380	0.3460
कनवल्शनल	0.0000	0.0000	0.3700
कनाडा	0.0740	0.4440	0.5000
कनेक्ट	0.3480	0.0070	0.5524
कनेक्टबाक्स	0.0000	0.6670	0.0000
कनेक्टर	0.0000	0.6300	0.7410
कनेक्टिकट	0.0000	0.0000	0.0000
कनेक्टेक्टर	0.6250	0.6250	0.5240
कनेक्टेड	0.4810	0.1067	0.2553
कनेक्शन	0.0119	0.0680	0.0672
कनेक्शनकर्ता	-0.6980	0.4400	-0.1390
कनेचक	0.0000	-0.0740	-0.2960
कन्टेनन्स	-0.6460	0.5600	-0.0900
कन्टेनम	-0.1420	0.8600	0.2320
कन्टेनमेंट	0.1665	0.7500	-0.2385
कन्टेनर	-0.2985	0.4377	-0.1077
कन्टेनरName	0.5000	0.5240	0.5830
कन्टेनरी	0.2240	-0.1660	-0.1000
कन्टेनेंस	-0.3335	0.0100	0.5000
कन्टेनेंसिक	-0.2080	-0.3000	0.0380
कन्टेनेड	-0.3330	-0.6670	-0.3330
कन्फ	0.6190	-0.3700	0.4440
कन्फिगर	-0.6670	0.6300	0.6670
कन्या	0.5830	-0.4440	-0.6250
कन्वर्सन	-0.5420	-0.6670	-0.4580
कप	0.3035	-0.5403	-0.2675
कपकीनेस	-0.3330	-0.6670	-0.2220
कपट	-0.6880	0.0460	-0.2600
कपटी	-0.9040	0.4800	-0.1700
कपड़ा	0.1350	0.0235	0.0670
कपड़ारूम	0.3800	-0.4920	-0.2060
कपड़े	0.0949	-0.1401	-0.2456
कपिंग	-0.0200	0.2200	-0.1960
कपिशName	-0.7080	0.6300	-0.3750
कपी	0.3330	-0.7620	-0.0370
कपीके	0.3120	-0.3340	-0.3120
कपीला	0.4890	-0.1140	0.3580
कप्ड	0.0000	-0.5240	-0.2220
कप्तान	0.1040	0.3060	0.9610
कप्तानशिप	0.8100	0.6670	1.0000
कब	0.0000	0.0000	0.0000
कबूतर	0.7780	-1.0000	-0.8100
कबूतरी	0.4580	-0.5300	-0.1260
कब्र	-0.6872	-0.3902	-0.4237
कब्रिस्तान	-0.8980	0.2600	-0.1660
कब्लेन	0.0000	-1.0000	0.0420
कभी	-0.1066	-0.4315	-0.2827
कभी-	0.1650	-0.1487	-0.1165
कभी-कभी	-1.0000	-0.6250	-0.9630
कम	-0.2645	-0.2624	-0.2725
कम-	-0.2343	-0.1853	-0.1173
कमकी	-0.2900	-0.4060	-0.1140
कमज़ोर	-0.3591	0.0677	-0.1864
कमजोर	-0.4913	-0.2783	-0.7387
कमजोरिंग	-0.6120	-0.4120	-0.9130
कमजोरी	-0.8120	-0.0360	-0.4960
कमनेस	-0.5830	-0.6760	-0.6260
कमबख्त	-0.5420	0.6240	-0.2200
कमर	0.0120	0.1187	-0.0050
कमरकोट	0.0840	-0.3600	-0.2220
कमरबंदता	0.6670	0.6670	0.5000
कमरबन्द	0.0000	0.0000	-0.0480
कमरा	0.4540	-0.3400	0.0950
कमरे	0.7220	-0.6300	0.2500
कमल	0.1460	-0.5000	-0.2540
कमलमैन	0.0835	-0.2590	-0.1220
कमांड	0.1823	0.2373	0.6673
कमांडर	0.0620	0.2300	0.8120
कमांडरशिप	0.6670	0.5930	1.0000
कमांडो	-0.3540	0.4200	0.6340
कमाई	0.7120	0.5380	0.6340
कमाल	-0.2380	-0.6670	-0.3750
कमिट	0.2583	0.2450	0.2833
कमी	-0.6548	-0.2030	-0.4725
कमीज़	-0.3330	-0.5830	0.6250
कमीटित	-1.0000	-0.6670	-0.9170
कमीड	0.0420	0.4100	0.1160
कमीना	0.0000	0.0000	0.5190
कमीने	-0.9068	0.4724	-0.1882
कमीमर	-0.6670	-0.4070	-0.3700
कमीर	-0.5830	0.5830	0.2860
कमील	-0.3330	0.6250	-0.1850
कमेट	0.6670	0.6670	1.0000
कम्क्यूट	0.0656	-0.2320	-0.0820
कम्क्यूशन	-0.2640	-0.2040	-0.2540
कम्गेन	0.1640	-0.3020	0.1220
कम्ट	-0.6670	0.6670	-0.4580
कम्ड	0.1400	-0.2540	-0.0200
कम्पनमेंटन्स	0.6670	-0.5930	0.2860
कम्पललल	-0.5830	-0.6670	0.0000
कम्पलालामेंटल	0.7620	-0.4440	0.5420
कम्पलालालानेस	0.5830	-1.0000	-0.4170
कम्पलालालाला	0.3330	-0.6670	0.2920
कम्पलीप	0.1020	-0.0400	0.1640
कम्पलीमेंट्स	0.1250	-0.5000	-0.2285
कम्पलीशन	0.0475	0.2145	0.0000
कम्पलीशनल	0.1670	0.6670	0.0480
कम्पाइल	0.2770	-0.0963	0.2083
कम्पाइल्ड	-0.6240	0.0200	-0.1760
कम्पायलर	0.7080	0.1110	0.5000
कम्पाला	-0.4160	-0.2000	-0.4340
कम्पालाइन	-0.2920	-0.4440	-0.1900
कम्पालाम	-0.4480	-0.1540	-0.1800
कम्पीज	0.6670	0.6250	0.0000
कम्पेटर	0.0000	0.6670	0.4580
कम्पेटिबिलिटी	0.0000	-0.5830	0.2500
कम्पेरेटर	0.7500	-0.1250	0.2475
कम्पोज़र	0.6440	0.1760	0.3820
कम्पोसलीलेट	0.0560	0.0000	0.0000
कम्पोसोसोसीट	0.8670	-0.8670	0.9260
कम्प्यूटर	0.6040	-0.2880	0.2780
कम्प्यूटराइज़	0.5105	0.2465	0.4625
कम्प्यूटराइज़ेशन	0.6670	0.6670	0.7780
कम्प्लीक्लास	0.4580	-0.3840	0.4780
कम्प्लीम	0.3330	-1.0000	-0.1670
कम्प्लीशन	0.0855	0.0403	0.1025
कम्ब्ड	-1.0000	0.0000	-0.8890
कम्व	0.0000	0.6300	0.0000
कम्व्ड	0.0000	0.2965	-0.1905
कम्सपिप	0.0000	-0.2960	0.0000
कम्‍न	-1.0000	-0.6670	-0.9520
कम्‍लापन	-0.7410	-0.6670	-1.0000
कर	-0.0498	-0.0806	0.0007
करता	0.0000	0.0000	0.0000
करदाता	0.7080	-0.5420	0.4440
करदाताओं	0.0000	0.2080	0.1110
करफुफल	-0.6300	0.7140	-0.3750
करमन	-0.6670	0.5830	0.7080
कराकाओ	0.6670	-0.0830	0.0000
करानमीName	-0.2600	-0.1800	0.2600
कराहना	-0.4375	0.5595	-0.3780
करियर	-0.1060	0.5860	0.5523
करीब	-0.0420	-0.1400	-0.2900
करुणा	0.2895	-0.4955	-0.0838
करुणामय	0.7140	-0.1920	-0.1780
करुणामयता	1.0000	-0.6250	0.5930
करूब	0.7470	-0.6207	-0.0993
करें	0.3400	0.0960	0.0720
करेक्टनेस	-0.6300	-0.5710	0.2860
करेक्टर	0.0950	0.6670	0.7040
करॉन-	0.0000	0.5710	0.3330
करोड़पति	0.8340	0.5100	0.7000
कर्ट	0.6507	0.0233	0.1437
कर्टा	-0.3960	-0.6040	-0.2620
कर्टिमिस्ट	0.6670	-0.6250	0.4170
कर्टे	-0.7620	-0.3330	-0.5830
कर्ता	0.3060	0.1220	0.2580
कर्नल	-0.0820	0.1840	0.7800
कर्नेल	0.0840	-0.0940	-0.0760
कर्म	0.1387	-0.1040	0.0653
कर्मचारियों	0.3335	0.6300	0.2025
कर्मचारियोंरूम	0.0000	-0.6670	-0.4170
कर्मचारी	0.1640	-0.2780	-0.0380
कर्ल-	0.5000	0.6300	0.5000
कर्स	0.0840	0.0180	-0.1740
कर्सन	0.0000	-0.5930	0.6670
कर्सर	-0.2993	0.0043	0.2803
कर्सिलियन	0.2780	-0.5835	0.4695
कल	0.3333	-0.3487	-0.2333
कलंक	-0.3330	-0.4170	-0.2920
कलंकीकरण	-0.7500	0.6670	-0.6670
कलक	-0.6670	0.6670	-0.2780
कलनविया	0.0000	0.3330	-0.0420
कलप	0.6670	-0.4440	-0.1250
कलम	-0.4700	0.1580	0.0000
कलर	-0.0738	0.0905	0.0392
कलरस्मार्ट	0.1370	-0.0090	0.1235
कलरस्मार्ट-बे	-0.0200	0.2660	0.0740
कलरूद	0.1880	0.0900	-0.4080
कलर्ड	-0.1460	-0.5220	-0.6420
कलर्डर	0.3120	-0.4200	0.0180
कला	0.4090	0.0870	0.1645
कलाआयर	-0.2080	0.0200	0.1660
कलाई	0.4770	-0.3220	-0.4270
कलाईName	0.3340	-0.2800	-0.3220
कलाईट	0.1250	-0.6670	0.0000
कलाईबैंड	0.1020	-0.6120	-0.4160
कलाईलॉक	-0.5240	1.0000	0.8330
कलाकार	0.3621	-0.0453	0.2630
कलाकृति	0.7920	-0.2640	0.3580
कलाक्रिएटर	0.6250	0.6670	0.5710
कलाज	-0.3330	-0.6670	-0.6300
कलादान	0.5620	-0.3400	-0.1780
कलादार	0.5805	0.2985	0.4155
कलापूर्ण	0.7080	0.3330	0.0830
कलापूर्णता	-0.0420	-0.0400	0.1820
कलाबुक	0.6670	-0.6670	0.0000
कलायाँ	0.6670	-0.4580	0.4170
कलारहित	0.3750	-0.2860	-0.3330
कलावाद	1.0000	-0.6670	0.3330
कलाशोथिक	-0.6670	-0.6670	-0.9170
कलाशोभाजक	-0.6670	-0.3330	-0.7920
कलाष	0.3340	0.5860	0.7320
कलिटो	-0.6460	0.3400	0.1080
कली	-0.2500	-0.3195	-0.3245
कलीसिया	0.2275	0.2865	0.4085
कलीसियावाद	0.0000	0.5830	0.3330
कलेजे	-0.1147	-0.6213	-0.0767
कलेव	0.2240	-0.2200	0.0000
कल्पना	0.2572	-0.0842	0.0908
कल्पनार	0.4170	0.2860	0.5830
कल्याण	0.6040	-0.2440	0.3580
कवच	-0.0553	0.4020	0.6117
कवच्ड	-0.0310	-0.1575	0.7180
कवर	-0.1340	-0.3001	-0.0290
कवरबुक	0.2040	-0.3080	-0.2040
कवरल	0.0420	-0.5000	0.3330
कवरलाइजेशन	0.0560	-0.6670	0.5830
कवरिंग	-0.0760	0.1205	-0.0210
कवरिशName	0.1660	-0.4420	-0.2700
कवरेबल	0.9580	-0.5560	0.1250
कवर्पोरर	-0.4070	0.5930	-0.6670
कवि	0.6540	-0.3000	0.1120
कविता	0.5070	-0.4950	0.2000
कविताएँ	0.6660	-0.2240	-0.1640
कवितावाद	0.9050	-0.5830	0.4760
कसम	-0.3773	0.4820	0.1550
कसरत	0.6670	-0.5830	0.2960
कसरतर	0.6190	1.0000	0.3330
कसल	-0.2920	0.6670	-0.6190
कसेंट्रिक	0.4600	-0.0420	0.2700
कस्टर	0.0950	0.4440	0.4440
कस्टल	-0.3750	0.7620	-0.4070
कस्पाइ	-0.3880	0.0760	-0.2860
कह	0.2190	0.2560	0.0270
कहते	0.2270	0.0702	0.3468
कहा	0.2165	-0.0915	0.1885
कहाँ	0.0000	0.0000	-0.0925
कहां	0.0000	-0.1500	-0.1480
कहानियों	0.7330	0.0370	0.0000
कहानी	0.3623	-0.0166	0.1283
कहानी-	0.7080	-0.3880	-0.2340
कहीं	-0.0840	-0.1607	-0.2380
कहें	0.1020	-0.3000	-0.0860
क़तार	-0.0230	-0.2600	-0.1540
क़तार-	-0.2300	-0.0420	-0.4620
क़त्लियानियाName	0.4170	-0.5830	0.6670
क़दर	0.8570	-0.3235	0.3415
क़ब्र	-0.4408	-0.4046	0.0796
क़रीब	0.6670	0.6250	0.6670
क़ानूनीवादी	-0.4760	-0.5930	0.6670
क़िस्म	-0.1020	-0.2703	-0.2120
क़िस्म-	0.6283	0.5093	-0.0950
क़िस्म:	0.1880	-0.1495	0.0263
क़ैद	-0.6237	0.2743	-0.2160
का	0.1360	-0.1285	0.1795
का.	0.0420	0.0400	0.1300
काँच-	-0.0208	0.0183	-0.0320
काँच-फलक	0.2458	-0.2285	0.0490
काँच-स्तर	0.4170	0.6670	0.3330
काँची	0.6670	-0.7500	0.0000
काँचीName	0.0480	-0.8330	0.0000
काँट	-0.0888	0.2047	-0.0002
कांग्रेड	0.0000	-0.1110	0.0000
कांचन	0.0740	-0.5420	-0.0830
कांची	0.2080	-0.3335	0.2500
कांचूusa.	0.3960	0.0200	0.3760
कांट-	-0.3351	0.1848	-0.1421
कांटोperu.	0.4280	-0.5800	-0.4120
कांपता	-0.6460	0.7560	-0.2240
काइलानेस	0.6670	0.9580	0.5560
काई	-0.3340	0.0760	-0.2120
काउंटर	0.0000	0.5930	0.0000
काउकासName	0.0000	0.0000	0.0000
काउन्टर	0.1040	0.2660	-0.0380
काकर	0.6670	1.0000	0.4440
काकाकास	0.0000	-0.0830	-0.0950
काकाव	-0.1180	-0.3020	-0.3020
काकावनेस	0.0000	-0.9520	0.0000
काकुक	0.1840	0.2000	-0.2720
कागज	0.0639	-0.1634	0.0137
कागज-	0.2063	-0.6143	0.1050
कागजी	0.0000	-0.8100	-0.4580
कागा	-0.0620	0.0580	-0.1200
कागाफोन	0.0830	0.6670	0.8150
काचन	0.0000	0.6670	0.4440
काचियन	0.5240	0.0000	0.3330
काज़ी	0.9630	-0.9580	-0.2500
काजुअल	0.0000	-0.6670	0.3700
काजोतोलोusa.	0.0060	-0.0760	-0.1780
काटना	-0.2984	0.1604	-0.2446
काटने	-0.0354	0.1270	-0.1284
काटनेवाला	0.3540	0.1460	-0.0925
काटर	0.2660	0.5480	0.3040
काटा	-0.2875	0.1800	-0.1550
काटिए	-0.4635	0.6160	0.7020
काटे	0.4585	0.1065	0.3760
काटें	0.0937	0.1597	-0.0023
काड	-0.0620	0.0620	-0.0380
कान	-0.0243	-0.3370	0.0248
कान-	-0.7780	1.0000	0.5190
कान-फोन	0.2500	0.0950	-0.0830
कानड्रॉप	0.0420	0.0000	-0.2080
कानमफ़	0.2220	-0.6670	0.0000
कानवाक्स	-0.6670	-0.8890	-0.5000
काना	0.0620	-0.1200	-0.2230
कानिग	-0.2780	0.2860	-0.2920
कानित	0.0660	-0.0760	-0.1140
कानुंग	0.2380	-0.6670	-0.1110
कानून	0.4800	0.1800	0.6300
कानूनी	0.1486	-0.0764	0.6632
कानूनीवाद	-0.5710	-0.5930	0.5240
कानूनीिटी	0.5300	-0.3140	0.4260
कानूनीीकरण	0.6670	0.6670	0.7080
कानेम	0.0830	-0.0950	0.0000
कापोनिकता	0.5930	-0.5830	0.1250
कापोनिकी	0.0000	0.0480	0.3330
कापोपोनिकी	0.2800	-0.2540	0.1820
काप्पा	-0.0620	-0.2500	-0.2680
काफ़िर	-0.6670	0.5240	-0.1480
काफ़िरों	-0.9760	-0.2410	-0.5345
काफिरों	0.3530	-0.1280	-0.1880
काफी	0.1100	-0.0777	0.1133
काबोब	0.4290	0.0000	0.0000
काम	0.4337	0.0610	0.2130
कामकाजी	0.5200	-0.1480	0.5180
कामाकाjapan.	-0.5920	0.6200	0.2900
कामेनच	0.0000	-0.4070	0.2380
काम्पला-	0.0840	0.0800	-0.1420
काम्पेयर	0.0415	-0.0835	0.0835
कायर	-0.7960	-0.0200	-0.7020
कायरनेस	-1.0000	-0.6670	-0.9520
कायल	0.4980	0.4917	0.4872
कार	-1.0000	0.9520	0.9630
कार-लोड	0.1670	0.6670	0.0000
कारक	0.4685	0.1270	0.3240
कारकता	0.5240	-0.5000	0.2960
कारकर	0.0830	0.5560	0.7080
कारकीपन	-0.7500	0.7040	-0.8330
कारगाज	0.3330	0.6670	0.0000
कारग्रेड	0.0000	0.6670	0.6670
कारण	-0.0626	-0.1816	-0.1230
कारणता	0.7410	-0.5000	0.6670
कारनिवोन्स	-0.4760	0.0560	0.8150
कारपोर्ट	0.0000	-0.4440	0.0000
कारबन्स	0.9520	-0.6670	0.5560
कारबाइड	0.0000	0.0000	0.5560
कारबिक	-0.6670	0.0000	0.0370
कारबॉब	0.0000	0.0000	-0.1670
कारबॉर	-0.0620	0.2240	0.1100
कारम्रॉलिंग	0.6670	0.6250	0.1250
काररी	-0.5000	1.0000	0.5830
काररूरूल	0.6670	0.7140	-0.5000
कारिसर	-0.0600	0.0180	0.3800
कारी	0.0000	0.2500	0.0480
कारीगर	0.0000	0.6670	0.4810
कारेट	0.1240	0.6660	0.1960
कारोनोला	-0.2500	0.0000	0.0000
कार्टून	0.7340	-0.0580	-0.2260
कार्टूनिस्ट	0.5930	0.6250	0.4170
कार्ट्रिज	-0.0840	0.0000	-0.1860
कार्ड	0.1387	0.0196	-0.0007
कार्ड-	0.0280	-0.3335	0.1430
कार्डबोर्ड	0.0000	-0.6540	-0.3820
कार्डम	0.6670	-0.3330	0.0000
कार्डिगन	0.1980	-0.3520	-0.4720
कार्डिनल	0.3610	-0.3723	0.5027
कार्डिनलता	0.0000	-0.5830	0.3330
कार्डिस्ट	-0.0840	0.2600	0.6280
कार्डीज़ी	-0.5940	0.0900	0.2100
कार्नेusa.	0.5560	0.3330	-0.2220
कार्बन	0.0537	-0.0333	-0.1410
कार्बन-लेस	0.0000	-0.6670	0.0000
कार्बनकर्ता	0.1110	0.6670	0.1480
कार्बनिक	0.0000	0.0000	0.0000
कार्म-क्रम	0.1120	-0.1560	-0.0920
कार्य	0.1849	0.1912	0.2800
कार्य-	0.0095	-0.0555	-0.0088
कार्यकर्ता	0.0620	0.3060	0.7540
कार्यक्रम	0.4900	0.3460	0.3280
कार्यदिवस	0.0000	0.6250	0.0950
कार्यपट्टी	0.0000	0.6670	0.3330
कार्यबुक	0.3460	-0.3140	0.0200
कार्यमेन	0.0000	0.6670	0.2920
कार्यशील	0.6670	0.0420	0.6190
कार्यसूची	0.0400	-0.1540	-0.2300
कार्यस्थल	0.1840	-0.1380	0.1660
कार्यान्वयन	0.3340	0.1780	0.3440
कार्यान्वित	-0.5065	0.6340	0.6230
कार्यालय	-0.1040	-0.3860	0.0430
कार्य्यता	0.5000	0.0000	0.5190
कार्रवाई	0.3460	0.4040	0.2260
कार्वर	-0.1640	0.0000	0.0000
कार्सटन	0.6670	0.8750	0.0000
कार्सन्स	0.8360	-0.2080	0.6480
काल	0.1862	0.0994	0.1842
काल-	-0.2965	0.0835	0.3750
कालक्रम	0.0940	-0.1660	0.1000
कालनेस	-0.6670	-0.5190	-0.7410
कालबैक	-0.1723	0.0893	-0.2598
कालर	0.2400	0.1655	0.2895
कालरू	-0.3330	0.6300	-0.5930
काला	-0.4405	-0.0224	-0.0977
कालाः	-0.3750	0.0000	0.0000
कालाउण्ड	-0.6670	-0.3330	-0.6670
कालातीत	-0.3330	0.0000	0.3330
कालाबार	-0.3540	-0.1640	-0.3160
कालामेल	-0.8140	0.5820	-0.0460
कालावाukraine.	-0.6250	0.6670	-0.3810
कालासूची	-0.7340	0.5000	-0.2080
कालित	-0.6190	0.7500	-0.4170
काली	0.1412	0.0483	-0.2390
काली-	0.0310	0.0546	-0.3880
कालीLELJEKSE(	-0.1620	0.3580	-0.0960
कालीकेदार	0.7300	-0.0400	0.3260
कालीकेर्न	0.0000	-0.1250	-0.2000
कालीज़	-0.7800	0.2000	-0.3820
कालीज़-	0.0000	0.0000	0.1110
कालीज़ीय	-0.6670	-0.5830	-0.4810
कालीबरी	0.3340	-0.1740	-0.0940
कालीमछली	0.0000	0.6670	0.0480
काले	-0.5413	0.2307	0.1633
काल्पनिक	-0.0628	-0.0488	-0.0669
काल्पनिकता	-0.3330	-0.6670	-0.2590
काल्फ	-0.0800	-0.0860	-0.3700
कावद्य	0.6670	-0.9260	-0.0420
कि	-0.1073	0.0257	-0.1380
कि-	0.0000	0.0740	0.2080
कि-ॉट	0.2040	-0.0200	-0.0380
कि.	0.2133	-0.1688	0.0950
किंक	-0.3890	0.6250	-0.4070
किंटी	0.0000	0.0000	0.1250
किइक	0.1670	0.1775	-0.3735
किइवीName	0.2920	-0.4540	-0.4360
किक	-0.2504	0.0650	-0.2260
किक-	0.6670	1.0000	0.7080
किक-बॉल	0.6670	1.0000	0.0950
किक-बोर्ड	0.3330	0.6670	0.0000
किकऑफ	0.1660	0.2000	0.2580
किककी	-1.0000	0.6670	-0.3750
किकबाक्स	-0.1460	0.7640	0.3020
किकबाक्सर	0.0000	1.0000	0.7500
किकबैक	-0.5830	0.6670	0.4070
किकम्प	-0.2860	-0.1160	-0.3720
किकम्पिक	0.0000	0.0000	0.0000
किकर	-0.4065	0.5630	0.4265
किकरर	-0.7040	0.6670	-0.4290
किकरी	-0.6670	0.7410	-0.3330
किकरीName	-0.0820	0.1020	0.1320
किकलोन	0.0560	-0.6670	-0.2500
किकिंग	-0.3460	0.6040	0.0200
किक्कार-	-1.0000	-0.4810	-1.0000
किक्शन	-0.1040	-0.1320	-0.1100
किच	-0.4965	-0.2550	-0.6010
किचक	0.1240	0.0360	0.6400
किचकिंग	-0.2660	-0.1800	-0.1640
किचन	0.0320	-0.2895	-0.5815
किचाई	-0.6670	-0.3750	-0.6190
किचिन	0.4800	-0.2740	-0.1660
किच्ड	-0.6320	0.0000	-0.2540
किट	0.0490	-0.1770	-0.0770
किटली	0.3020	-0.4120	-0.4880
किताब	0.3250	-0.1064	0.2942
किताबpage	0.3095	-0.4445	0.2710
किताबों	0.3330	-0.6670	-0.2500
किती	-0.2860	0.0200	-0.3160
किद्रोन	-0.9050	-0.4170	-0.3330
किन	-0.0932	0.1512	0.2038
किनारा	-0.0784	0.0195	-0.0530
किनारा-	-0.0213	-0.1353	-0.1253
किनारामेन	0.0480	0.5420	-0.2860
किनारालैंडjamaica.	0.0000	0.0000	-0.4760
किनारे	0.4348	-0.2004	-0.0712
किनारे-	0.1770	-0.2040	0.0845
किनारेरबर्ड	0.2500	0.6670	0.0000
किनेव	-0.9630	0.6300	-0.4170
किनो	0.2920	0.4580	-0.1400
किन्तु	-0.6670	-1.0000	-0.8150
किबब	0.0620	-0.1380	-0.2460
किबर्ड	-0.6670	-0.9630	-0.4170
किबा	0.2500	-0.5000	-0.2360
किबित	-0.3320	0.0730	-0.4330
किबॉब	0.3960	-0.4040	0.1860
किमा	-0.4380	0.3460	-0.4640
किमी	0.0618	-0.1827	-0.1345
किमीName	-0.1940	-0.2935	-0.3395
किमीusa.	0.0400	-0.1100	-0.1760
किमीन	-0.4275	0.6730	-0.1850
किमीयName	-0.4580	0.6670	-0.8100
किमोज़ी	0.3340	-0.2220	-0.3200
किमोनोworld.	0.2860	-0.4400	-0.2740
किम्पोbrazil.	0.0000	0.5930	0.2500
किया	-0.0867	0.3790	-0.0593
किरमर	0.0200	0.2440	0.1780
किराए	0.0585	-0.0710	0.0755
किरायाल	0.0200	-0.2600	-0.3840
किरियम	-0.0620	-0.2700	-0.0540
किर्गान्गोhaiti.	-0.5000	0.2360	-0.3520
किर्गिकusa.	-1.0000	0.6670	-0.9050
किर्गिजName	-0.1900	0.6670	0.5190
किर्गीName	0.0000	0.6485	-0.4720
किर्गोमीटर	0.0000	0.6670	0.2220
किल	-0.2920	0.0000	-0.2460
किल-बेन	0.1840	-0.1880	-0.2020
किला	0.0576	-0.2151	0.1055
किलेदार	-0.8150	0.6670	-0.1670
किलॉट	-0.1040	-0.3080	-0.3040
किलो	-0.0620	-0.1420	-0.0390
किलोग्राम	0.0130	-0.4800	-0.0900
किलोटेट	0.0000	0.0000	0.1670
किलोमीटर	-0.0100	-0.0610	0.1330
किशीपे	0.6670	-0.6670	0.0000
किशोरावस्था	0.1972	0.2640	-0.0952
किस	0.1020	-0.2900	-0.3413
किसान	0.3603	0.0270	0.1083
किसानवाद	0.0200	-0.4620	-0.1860
किसानी	-0.3330	-0.6670	-0.8570
किसी	0.0314	-0.0636	0.0269
की	-0.3583	0.2170	-0.2553
की-	-0.0835	-0.3135	-0.2380
की-वर्डस	-0.6740	0.3780	0.0340
कीचड़	-0.6463	0.4313	0.1387
कीचड़ीय	-0.6670	0.5560	0.0000
कीड़े	-0.3187	-0.1148	-0.4138
कीड़े-	-0.2860	-0.9260	-0.4440
कीपिंग	0.5830	0.6670	0.3750
कीमतको	-0.0660	-0.2100	-0.1540
कीमतर	0.6250	0.6670	0.4170
कीमती	0.2570	0.0670	0.1560
कीमत्ड	0.1110	-0.0740	0.0420
कीवर्ड	0.2040	0.0400	0.4940
कुँवारेपन	0.0120	-0.0480	0.0850
कुंग	-0.1425	0.2410	0.0810
कुंजियाँ	0.4440	0.5000	0.4580
कुंजी	0.0785	0.1050	0.0155
कुंजी-	0.2715	0.1730	0.1895
कुंजी-लेस	0.4440	-0.6670	-0.4810
कुंजीmsg	0.0000	0.9630	0.0370
कुंजीकार्ड	0.0000	0.3890	0.1670
कुंजीपट	0.0200	-0.2580	0.1900
कुंजीपटल	0.3785	0.1125	0.1270
कुंदर	0.0000	-0.2940	-0.0580
कुक	0.2397	0.0720	-0.0530
कुकर	0.1840	-0.2540	-0.1860
कुकर्म	-1.0000	0.7080	0.6670
कुकर्मी	-0.7640	0.6300	0.3427
कुकात	0.6670	0.6670	0.6300
कुकी	0.5840	-0.3880	-0.5000
कुकीज़	0.6460	-0.0980	-0.3680
कुख्यात	-0.5775	0.4145	0.3842
कुघाusa.	0.8910	0.5580	0.3100
कुचल	-0.5623	0.3853	-0.3133
कुचलना	0.0820	-0.0940	0.0520
कुचला	-0.6343	0.3493	0.1517
कुचली	-0.4440	-0.2080	-0.5930
कुचित	-0.9630	-0.0480	-0.4580
कुछ	-0.1214	-0.2670	-0.2272
कुछवे	-0.0560	0.0000	0.0000
कुडली	0.0260	-0.2840	-0.2700
कुड़कुड़ाएँ	-0.0840	0.0400	-0.6000
कुढ़ना	-0.7013	0.6537	-0.5390
कुतिया	-0.3563	0.2905	-0.0650
कुत्ता	-0.1874	0.5931	0.0903
कुत्ता-	-0.6300	0.6670	0.6250
कुत्तापन	0.6670	0.6670	0.6670
कुत्तार	-0.5620	-0.0600	-0.4720
कुत्तावुड	0.3700	-1.0000	-0.0480
कुत्ताा	0.2783	0.1610	-0.3560
कुत्तााName	0.8150	1.0000	0.8890
कुत्तााडोusa.	-0.0420	0.0200	0.0540
कुत्ताापन	-0.6670	-0.6670	0.0000
कुत्तािश	-0.2080	0.6670	-0.3330
कुत्ताोथ	-0.0420	0.0000	0.0370
कुत्ते	0.0000	0.6670	-0.2670
कुत्तेीName	-0.6000	0.6670	-0.2960
कुत्तों	0.0723	0.2593	-0.0683
कुपोषण	-0.9520	0.1840	-0.4460
कुप्पू	-0.4580	0.4360	-0.3580
कुमिको	0.0000	0.2300	0.4200
कुमिकोमर	-0.9520	-0.3330	-0.6300
कुम्हार	0.1460	-0.1660	-0.0360
कुरान	0.6760	-0.1200	0.1440
कुरानर	0.6670	0.6190	0.2220
कुर्सी	0.3493	0.1183	0.3678
कुर्सीदार	0.0000	-0.4580	0.8570
कुल	-0.1795	-0.2207	0.0545
कुलक	-0.3330	0.4760	0.1110
कुलनिशName	-0.6190	0.6670	0.3330
कुलपिता	0.1840	-0.1040	0.7960
कुलपितािक	-0.4760	-0.2960	1.0000
कुली	-0.6670	0.5000	1.0000
कुलेटर	0.0620	0.0000	0.7140
कुल्स	0.0000	-0.4810	0.4580
कुल्समेन	0.0000	0.5930	0.6110
कुविशName	-0.7145	0.6430	-0.5120
कुश	-0.0580	-0.5380	-0.3760
कुशल	0.7640	0.3809	0.8289
कुशलता	1.0000	0.1900	0.7040
कूक	-0.2660	-0.0540	-0.2780
कूकर	-0.0965	0.3165	0.0950
कूकरीत	-0.5330	0.0000	-0.3750
कूकिशName	0.6300	0.6670	-0.0950
कूच	0.0840	0.3080	0.0780
कूटशब्द	0.1287	-0.0017	0.2577
कूड़ा-	0.0000	0.0000	-0.3700
कूड़ेदान	-0.1455	-0.5280	-0.6395
कूत	-0.5420	0.3810	-0.5000
कूद	0.4585	0.6565	0.2150
कूदता	0.1803	1.0000	-0.0767
कूदना	0.8890	0.9580	0.5930
कूदनेवाला	0.2300	-0.3280	-0.0380
कूदी	-0.2940	0.6200	-0.5680
कूदें	0.4190	0.3650	0.3195
कून	0.0000	0.0000	0.0000
कूनहीक	0.2500	0.5710	0.6190
कूप	-0.5210	0.2930	-0.1545
कूपन	0.4080	-0.4000	-0.1580
